Year,Rank,Artist,Song,Song_genre,Genre,relevant_genres,primary_genre
2010,71,Drake,Forever,Forever,"['Drake', 'Hip-Hop', 'rap', 'forever', 'Eminem']","['Hip-Hop', 'rap']",hip hop
2010,72,Boys Like Girls,Two Is Better Than One,Two Is Better Than One,"['alternative rock', 'pop punk', 'Love', 'boys like girls', 'pop']",['pop'],pop
2010,73,3OH!3,My First Kiss,My First Kiss,"['pop', 'Awesome', 'dance', 'electronic', 'rock']","['pop', 'rock']",pop
2010,74,Kelly Clarkson,Already Gone,Already Gone,"['pop', 'female vocalists', 'Kelly Clarkson', 'Ballad', 'american']",['pop'],pop
2010,75,Black Eyed Peas,Rock That Body,Rock That Body,"['dance', 'black eyed peas', 'electronic', 'Hip-Hop', 'pop']","['Hip-Hop', 'pop']",hip hop
2010,76,OneRepublic,Secrets,Secrets,"['alternative rock', 'rock', 'pop', 'OneRepublic', 'alternative']","['rock', 'pop']",rock
2010,77,Selena Gomez,Naturally,Naturally,"['pop', 'female vocalists', 'Selena Gomez', 'The Scene', 'sexy']",['pop'],pop
2010,78,Alicia Keyes,Un-Thinkable (I’m Ready),Un-Thinkable (Im Ready),"['soul', 'rnb']","['soul', 'rnb']",soul
2010,79,DJ Khaled,All I Do Is Win,All I Do Is Win,"['Hip-Hop', '2010', 'wkqi-fm', 'hip hop', 'rap']","['Hip-Hop', 'hip hop', 'rap']",hip hop
2010,80,Kevin Rudolf,I Made It (Cash Money Heroes),I Made It (Cash Money Heroes),"['pop', 'top 40', 'rnb', 'hip hop', 'r&b']","['pop', 'rnb', 'hip hop', 'r&b']",pop
2010,82,Usher,Hey Daddy (Daddy’s Home),Hey Daddy (Daddys Home),['Hip-Hop'],['Hip-Hop'],hip hop
2010,83,Usher,There Goes My Baby,There Goes My Baby,"['Usher', 'rnb', 'smooth', 'r and b', 'male vocalists']",['rnb'],r&b
2010,84,Taylor Swift,Today Was A Fairytale,Today Was A Fairytale,"['taylor swift', 'pop', 'country', 'female vocalists', 'Love']","['pop', 'country']",pop
2010,85,Timbaland,Say Something,Say Something,"['Hip-Hop', 'rap', 'Timbaland', 'Drake', 'hip hop']","['Hip-Hop', 'rap', 'hip hop']",hip hop
2010,86,Beyonce,Sweet Dreams,Sweet Dreams,"['beyonce', 'pop', 'rnb', 'dance', 'female vocalists']","['pop', 'rnb']",pop
2010,87,Kings of Leon,Use Somebody,Use Somebody,"['rock', 'indie rock', 'alternative', 'indie', 'Southern Rock']","['rock', 'indie']",rock
2010,88,Carrie Underwood,Undo It,Undo It,"['country', 'Carrie Underwood', 'female vocalists', 'country pop', 'American Idol']",['country'],country
2010,90,Lil Wayne,Right Above It,Right Above It,"['Lil Wayne', 'hip hop', 'rap', '2010', 'Hip-Hop']","['hip hop', 'rap', 'Hip-Hop']",hip hop
2010,94,Lady Antebellum,American Honey,American Honey,"['country', 'lady antebellum', 'female vocalists', 'modern country', 'american honey']",['country'],country
2010,95,Sara Bareilles,King Of Anything,King Of Anything,"['pop', 'female vocalists', 'piano', 'catchy', 'sara bareilles']",['pop'],pop
2010,96,Daughtry,Life After You,Life After You,"['rock', 'daughtry', 'post-grunge', 'loved', 'best male singer']",['rock'],rock
2010,97,Uncle Kraker,Smile,Smile,"['pop', 'country', 'uncle kracker', 'rock', 'male vocalists']","['pop', 'country', 'rock']",pop
2010,98,Cali Swag District,Teach Me How To Dougie,Teach Me How To Dougie,"['teach me how to duggie', 'Hip-Hop', 'Dougie', 'Cali Swagg', 'hip hop']","['Hip-Hop', 'hip hop']",hip hop
2010,99,Alicia Keyes,Try Sleeping With A Broken Heart,Try Sleeping With A Broken Heart,"['soul', 'rnb', 'female vocalists', 'Alicia Keys', 'soulful']","['soul', 'rnb']",soul
2010,100,Jerrod Niemann,"Lover, Lover","Lover, Lover","['country', 'LOVER LOVER', 'lover', 'modern country', 'jerrod niemann']",['country'],country
2011,1,Adele,Rolling In The Deep,Rolling In The Deep,"['soul', 'Adele', 'female vocalists', 'pop', 'british']","['soul', 'pop']",soul
2011,2,LMFAO,Party Rock Anthem,Party Rock Anthem,"['dance', 'electronic', 'pop', '2011', 'lmfao']",['pop'],pop
2011,3,Katy Perry,Firework,Firework,"['pop', 'katy perry', 'female vocalists', 'firework', 'dance']",['pop'],pop
2011,4,Katy Perry,E.T.,E.T.,"['pop', 'katy perry', 'female vocalists', 'electronic', 'electropop']",['pop'],pop
2011,5,Pitbull,Give Me Everything,Give Me Everything,"['dance', 'pop', '2011', '2010s', 'Ne-Yo']",['pop'],pop
2011,6,Bruno Mars,Grenade,Grenade,"['pop', 'Bruno Mars', 'rnb', 'male vocalists', 'Grenade']","['pop', 'rnb']",pop
2011,8,Nicki Minaj,Super Bass,Super Bass,"['nicki minaj', 'hip hop', 'pop', 'rnb', 'female vocalists']","['hip hop', 'pop', 'rnb']",hip hop
2011,9,Maroon 5,Moves Like Jagger,Moves Like Jagger,"['pop', 'dance', 'pop rock', 'rock', '2011']","['pop', 'rock']",pop
